2016-09-07 09:29:58,456 | INFO  | Started SelectChannelConnector@0.0.0.0:8161 | org.eclipse.jetty.server.AbstractConnector | WrapperSimpleAppMain
2016-09-07 09:38:40,376 | WARN  | Transport Connection to: tcp://127.0.0.1:11501 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:11501
2016-09-07 09:38:40,376 | WARN  | Transport Connection to: tcp://127.0.0.1:11503 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:11503
2016-09-07 09:38:40,376 | WARN  | Transport Connection to: tcp://127.0.0.1:11502 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:11502
2016-09-07 09:38:43,392 | WARN  | Transport Connection to: tcp://127.0.0.1:11699 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:11699
2016-09-07 09:38:43,392 | WARN  | Transport Connection to: tcp://127.0.0.1:11697 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:11697
2016-09-07 09:38:43,392 | WARN  | Transport Connection to: tcp://127.0.0.1:11698 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:11698
2016-09-07 09:38:47,091 | WARN  | Transport Connection to: tcp://127.0.0.1:11541 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:11541
2016-09-07 09:38:47,104 | WARN  | Transport Connection to: tcp://127.0.0.1:11543 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:11543
2016-09-07 09:38:47,091 | WARN  | Transport Connection to: tcp://127.0.0.1:11542 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:11542
2016-09-07 09:40:25,946 | WARN  | Transport Connection to: tcp://127.0.0.1:11758 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:11758
2016-09-07 09:40:25,946 | WARN  | Transport Connection to: tcp://127.0.0.1:11759 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:11759
2016-09-07 09:40:25,946 | WARN  | Transport Connection to: tcp://127.0.0.1:11757 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:11757
2016-09-07 09:49:00,386 | WARN  | Transport Connection to: tcp://127.0.0.1:11871 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:11871
2016-09-07 09:49:00,386 | WARN  | Transport Connection to: tcp://127.0.0.1:11872 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:11872
2016-09-07 09:49:00,386 | WARN  | Transport Connection to: tcp://127.0.0.1:11873 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:11873
2016-09-07 09:53:58,978 | WARN  | Transport Connection to: tcp://127.0.0.1:12136 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:12136
2016-09-07 09:53:58,978 | WARN  | Transport Connection to: tcp://127.0.0.1:12137 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:12137
2016-09-07 09:53:58,978 | WARN  | Transport Connection to: tcp://127.0.0.1:12135 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:12135
2016-09-07 10:32:21,956 | WARN  | Transport Connection to: tcp://127.0.0.1:12181 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:12181
2016-09-07 10:32:21,966 | WARN  | Transport Connection to: tcp://127.0.0.1:12182 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:12182
2016-09-07 10:32:21,966 | WARN  | Transport Connection to: tcp://127.0.0.1:12183 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:12183
2016-09-07 11:11:19,652 | WARN  | Transport Connection to: tcp://127.0.0.1:13357 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:13357
2016-09-07 11:11:19,654 | WARN  | Transport Connection to: tcp://127.0.0.1:13359 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:13359
2016-09-07 11:11:19,652 | WARN  | Transport Connection to: tcp://127.0.0.1:13358 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:13358
2016-09-07 11:12:59,854 | WARN  | Transport Connection to: tcp://127.0.0.1:13396 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:13396
2016-09-07 11:12:59,854 | WARN  | Transport Connection to: tcp://127.0.0.1:13397 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:13397
2016-09-07 11:12:59,854 | WARN  | Transport Connection to: tcp://127.0.0.1:13398 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:13398
2016-09-07 11:14:43,308 | WARN  | Transport Connection to: tcp://127.0.0.1:13403 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:13403
2016-09-07 11:14:43,308 | WARN  | Transport Connection to: tcp://127.0.0.1:13405 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:13405
2016-09-07 11:14:43,308 | WARN  | Transport Connection to: tcp://127.0.0.1:13404 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:13404
2016-09-07 11:15:02,646 | WARN  | Transport Connection to: tcp://127.0.0.1:13703 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:13703
2016-09-07 11:15:02,652 | WARN  | Transport Connection to: tcp://127.0.0.1:13705 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:13705
2016-09-07 11:15:02,646 | WARN  | Transport Connection to: tcp://127.0.0.1:13704 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:13704
2016-09-07 11:17:07,395 | WARN  | Transport Connection to: tcp://127.0.0.1:13771 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:13771
2016-09-07 11:17:07,395 | WARN  | Transport Connection to: tcp://127.0.0.1:13769 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:13769
2016-09-07 11:17:07,395 | WARN  | Transport Connection to: tcp://127.0.0.1:13770 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:13770
2016-09-07 11:35:56,005 | WARN  | Transport Connection to: tcp://127.0.0.1:14917 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:14917
2016-09-07 11:35:56,018 | WARN  | Transport Connection to: tcp://127.0.0.1:14918 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:14918
2016-09-07 11:35:56,005 | WARN  | Transport Connection to: tcp://127.0.0.1:14919 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:14919
2016-09-07 11:42:50,731 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@327471b5: startup date [Wed Sep 07 11:42:50 CST 2016]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2016-09-07 11:42:51,506 | INFO  | PListStore:[C:\Users\間栦\Desktop\old_2\simulation\apache-activemq-5.6.0\bin\..\data\localhost\tmp_storage ] started | org.apache.activemq.store.kahadb.plist.PListStore | main
2016-09-07 11:42:51,521 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\間栦\Desktop\old_2\simulation\apache-activemq-5.6.0\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2016-09-07 11:42:51,756 | INFO  | KahaDB is version 4 | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-09-07 11:42:51,821 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-09-07 11:42:51,821 | INFO  | Recovery replayed 2 operations from the journal in 0.034 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-09-07 11:42:51,840 | INFO  | ActiveMQ 5.6.0 JMS Message Broker (localhost) is starting | org.apache.activemq.broker.BrokerService | main
2016-09-07 11:42:51,840 | INFO  | For help or more information please see: http://activemq.apache.org/ | org.apache.activemq.broker.BrokerService | main
2016-09-07 11:42:52,034 | INFO  | Listening for connections at: tcp://DESKTOP-87VOL3N:61616 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-09-07 11:42:52,034 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2016-09-07 11:42:52,069 | INFO  | jetty-7.6.1.v20120215 | org.eclipse.jetty.server.Server | main
2016-09-07 11:42:52,096 | INFO  | started o.e.j.s.ServletContextHandler{/,null} | org.eclipse.jetty.server.handler.ContextHandler | main
2016-09-07 11:42:52,173 | INFO  | Started SelectChannelConnector@0.0.0.0:61614 | org.eclipse.jetty.server.AbstractConnector | main
2016-09-07 11:42:52,173 | INFO  | Connector websocket Started | org.apache.activemq.broker.TransportConnector | main
2016-09-07 11:42:52,173 | INFO  | Listening for connections at: stomp://DESKTOP-87VOL3N:61613 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-09-07 11:42:52,173 | INFO  | Connector stomp Started | org.apache.activemq.broker.TransportConnector | main
2016-09-07 11:42:52,188 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:DESKTOP-87VOL3N-15705-1473219771857-0:1) started | org.apache.activemq.broker.BrokerService | main
2016-09-07 11:42:52,188 | WARN  | Store limit is 102400 mb, whilst the data directory: C:\Users\間栦\Desktop\old_2\simulation\apache-activemq-5.6.0\bin\..\data\kahadb only has 5287 mb of usable space | org.apache.activemq.broker.BrokerService | main
2016-09-07 11:42:52,188 | ERROR | Temporary Store limit is 51200 mb, whilst the temporary data directory: C:\Users\間栦\Desktop\old_2\simulation\apache-activemq-5.6.0\bin\..\data\localhost\tmp_storage only has 5287 mb of usable space | org.apache.activemq.broker.BrokerService | main
2016-09-07 11:42:52,219 | INFO  | jetty-7.6.1.v20120215 | org.eclipse.jetty.server.Server | main
2016-09-07 11:42:52,457 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2016-09-07 11:42:52,457 | INFO  | started o.e.j.w.WebAppContext{/admin,file:/C:/Users/間栦/Desktop/old_2/simulation/apache-activemq-5.6.0/webapps/admin/} | org.eclipse.jetty.server.handler.ContextHandler | main
2016-09-07 11:42:52,535 | INFO  | Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog | org.mortbay.log | main
2016-09-07 11:42:52,589 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2016-09-07 11:42:52,920 | INFO  | ActiveMQ Console at http://0.0.0.0:8161/admin | org.eclipse.jetty.webapp.WebAppContext | main
2016-09-07 11:42:52,974 | INFO  | started o.e.j.w.WebAppContext{/demo,file:/C:/Users/間栦/Desktop/old_2/simulation/apache-activemq-5.6.0/webapps/demo/} | org.eclipse.jetty.server.handler.ContextHandler | main
2016-09-07 11:42:52,974 | INFO  | ActiveMQ Web Demos at http://0.0.0.0:8161/demo | org.eclipse.jetty.webapp.WebAppContext | main
2016-09-07 11:42:53,021 | INFO  | started o.e.j.w.WebAppContext{/fileserver,file:/C:/Users/間栦/Desktop/old_2/simulation/apache-activemq-5.6.0/webapps/fileserver/} | org.eclipse.jetty.server.handler.ContextHandler | main
2016-09-07 11:42:53,054 | INFO  | RESTful file access application at http://0.0.0.0:8161/fileserver | org.eclipse.jetty.webapp.WebAppContext | main
2016-09-07 11:42:53,057 | INFO  | Started SelectChannelConnector@0.0.0.0:8161 | org.eclipse.jetty.server.AbstractConnector | main
2016-09-07 11:48:20,277 | WARN  | Transport Connection to: tcp://127.0.0.1:16151 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:16151
2016-09-07 11:48:20,277 | WARN  | Transport Connection to: tcp://127.0.0.1:16150 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:16150
2016-09-07 11:48:20,277 | WARN  | Transport Connection to: tcp://127.0.0.1:16149 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:16149
2016-09-07 11:58:48,050 | WARN  | Transport Connection to: tcp://127.0.0.1:16956 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:16956
2016-09-07 11:58:48,050 | WARN  | Transport Connection to: tcp://127.0.0.1:16955 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:16955
2016-09-07 11:58:48,050 | WARN  | Transport Connection to: tcp://127.0.0.1:16957 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:16957
2016-09-07 13:15:08,125 | WARN  | Transport Connection to: tcp://127.0.0.1:18887 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:18887
2016-09-07 13:15:08,126 | WARN  | Transport Connection to: tcp://127.0.0.1:18893 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:18893
2016-09-07 13:15:08,125 | WARN  | Transport Connection to: tcp://127.0.0.1:18889 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:18889
2016-09-07 13:15:33,070 | WARN  | Transport Connection to: tcp://127.0.0.1:18977 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:18977
2016-09-07 13:15:33,070 | WARN  | Transport Connection to: tcp://127.0.0.1:18978 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:18978
2016-09-07 13:15:33,070 | WARN  | Transport Connection to: tcp://127.0.0.1:18976 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:18976
2016-09-07 13:19:30,350 | WARN  | Transport Connection to: tcp://127.0.0.1:19012 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:19012
2016-09-07 13:19:30,351 | WARN  | Transport Connection to: tcp://127.0.0.1:19014 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:19014
2016-09-07 13:19:30,350 | WARN  | Transport Connection to: tcp://127.0.0.1:19013 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:19013
2016-09-07 13:20:42,907 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:19191 failed: java.io.IOException: Frame size of 1140 MB larger than max allowed 100 MB | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:19191
