2017-06-22 21:04:46,990 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:54913 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:54913 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:04:51,994 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:54925 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:54925 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:04:57,003 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:54930 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:54930 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:05:02,005 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:54942 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:54942 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:05:07,014 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:54947 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:54947 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:05:12,022 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:54949 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:54949 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:05:17,025 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:54951 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:54951 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:05:22,284 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:54954 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:54954 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:05:27,291 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:54955 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:54955 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:05:32,302 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:54958 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:54958 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:05:37,309 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:54959 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:54959 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:05:42,316 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:54977 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:54977 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:05:47,370 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:54984 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:54984 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:05:52,463 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:55002 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:55002 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:05:57,669 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:55004 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:55004 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:06:02,675 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:55006 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:55006 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:06:07,681 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:55007 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:55007 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:06:12,701 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:55009 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:55009 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:06:17,704 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:55012 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:55012 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:06:22,713 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:55015 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:55015 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:06:24,059 | WARN  | Transport Connection to: tcp://127.0.0.1:54981 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:54981@61616
2017-06-22 21:06:24,059 | WARN  | Transport Connection to: tcp://127.0.0.1:54979 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:54979@61616
2017-06-22 21:06:24,059 | WARN  | Transport Connection to: tcp://127.0.0.1:54980 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:54980@61616
2017-06-22 21:06:27,886 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:55028 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:55028 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:06:33,069 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:55031 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:55031 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:06:38,165 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:55036 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:55036 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:06:43,296 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:55039 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:55039 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
